way,0.002790,0.003462
asap,0.000391,0.000424
formal,0.000139,0.000118
yo,0.000227,0.000259
cup,0.000063,0.000259
gear,0.000215,0.000118
outstand,0.000063,0.000400
honor,0.000303,0.000283
today,0.003384,0.003792
age,0.000189,0.000118
across,0.000189,0.000259
award,0.000391,0.000707
crash,0.000253,0.000118
hang,0.000972,0.000118
block,0.000139,0.000118
start,0.000947,0.001413
flew,0.000391,0.000542
ill,0.001300,0.001931
ppl,0.000391,0.000259
departur,0.000972,0.000707
mail,0.000189,0.000118
sf,0.000177,0.000118
disconnect,0.000745,0.000118
fll,0.000480,0.000589
confid,0.000139,0.000118
orlando,0.000240,0.000636
quick,0.000278,0.001295
six,0.000202,0.000118
central,0.000164,0.000118
pts,0.000139,0.000118
yr,0.000391,0.000353
stat,0.000063,0.000259
februari,0.000063,0.000306
sarcasm,0.000152,0.000118
carrier,0.000278,0.000118
phl,0.001023,0.000919
everyon,0.000922,0.000565
msp,0.000164,0.000118
abq,0.000063,0.000283
resch,0.000152,0.000118
again,0.004040,0.001625
world,0.000303,0.000801
plz,0.000316,0.000283
feel,0.000871,0.000518
voic,0.000152,0.000118
nj,0.000063,0.000283
unitedfail,0.000164,0.000118
alert,0.000240,0.000118
close,0.000657,0.000330
remov,0.000202,0.000118
cust,0.000644,0.000330
ty,0.000063,0.000330
deic,0.000253,0.000259
creat,0.000202,0.000118
n,0.000278,0.000377
manner,0.000177,0.000118
also,0.001250,0.001013
this,0.000063,0.009091
cheer,0.000063,0.000400
excit,0.000063,0.000636
head,0.000480,0.000659
memphi,0.000177,0.000118
huge,0.000316,0.000565
dirti,0.000189,0.000118
explain,0.000505,0.000353
failur,0.000354,0.000118
complain,0.000240,0.000306
nonstop,0.000227,0.000447
freak,0.000189,0.000118
bill,0.000152,0.000118
dont,0.005240,0.002143
octob,0.000063,0.000259
payment,0.000063,0.000259
main,0.000240,0.000118
replac,0.000240,0.000283
how,0.005846,0.004310
nexus,0.000152,0.000118
th,0.000556,0.001130
roundtrip,0.000063,0.000306
worstairlineev,0.000164,0.000118
center,0.000328,0.000118
somehow,0.000152,0.000118
southwestair,0.000682,0.001437
midnight,0.000227,0.000118
california,0.000063,0.000259
omg,0.000063,0.000424
whether,0.000063,0.000259
experi,0.002235,0.001083
prepar,0.000253,0.000118
ago,0.001300,0.000801
none,0.000303,0.000118
werent,0.000328,0.000118
lousi,0.000152,0.000118
sad,0.000568,0.000306
lbs,0.000164,0.000118
stood,0.000139,0.000118
compens,0.000821,0.000118
epic,0.000152,0.000118
no,0.000063,0.004404
standbi,0.000480,0.000495
rude,0.001793,0.000118
premier,0.000265,0.000353
tho,0.000215,0.000259
exp,0.000164,0.000118
onli,0.003182,0.002096
passeng,0.002184,0.001413
m,0.000152,0.000283
continu,0.000543,0.000353
text,0.000391,0.000118
pvd,0.000063,0.000330
journal,0.000063,0.000495
beauti,0.000063,0.000589
unprofession,0.000278,0.000118
prioriti,0.000391,0.000353
listen,0.000290,0.000424
ship,0.000139,0.000118
garbag,0.000177,0.000118
conf,0.000240,0.000377
defin,0.000152,0.000118
overhead,0.000354,0.000259
student,0.000139,0.000259
mobil,0.000316,0.000377
stick,0.000177,0.000118
aww,0.000063,0.000283
mean,0.000922,0.000754
access,0.000341,0.000565
forc,0.000593,0.000118
frequent,0.000253,0.000353
kind,0.000391,0.000495
earth,0.000139,0.000118
could,0.001970,0.002143
plus,0.000568,0.000565
ass,0.000189,0.000118
congrat,0.000139,0.000353
lhr,0.000063,0.000259
custom,0.000063,0.004027
greet,0.000063,0.000306
fort,0.000063,0.000306
delay,0.000063,0.002190
review,0.000152,0.000118
third,0.000265,0.000118
must,0.000341,0.000424
mad,0.000215,0.000306
unit,0.003561,0.002426
stuff,0.000290,0.000259
birthday,0.000253,0.000518
them,0.002437,0.001554
cmon,0.000177,0.000118
partner,0.000240,0.000118
jan,0.000177,0.000118
ladygaga,0.000063,0.000400
valid,0.000152,0.000118
glad,0.000417,0.000754
almost,0.001124,0.000377
thx,0.000593,0.001578
tv,0.000455,0.000353
fantast,0.000063,0.000565
guarante,0.000189,0.000118
pathet,0.000328,0.000118
t,0.000177,0.000330
go,0.005619,0.004310
accur,0.000164,0.000118
wsj,0.000063,0.000377
get,0.000063,0.010033
bostonlogan,0.000063,0.000259
lead,0.000063,0.000330
discount,0.000063,0.000518
flyfi,0.000063,0.000400
system,0.001932,0.000400
her,0.001604,0.001743
tablet,0.000139,0.000118
shit,0.000467,0.000118
rerout,0.000316,0.000283
thousand,0.000139,0.000118
san,0.000543,0.000895
then,0.003409,0.001507
blue,0.000354,0.000612
pm,0.001806,0.000871
rental,0.000227,0.000259
servic,0.000063,0.005464
via,0.000783,0.001342
difficult,0.000177,0.000118
simpl,0.000215,0.000118
dollar,0.000316,0.000118
click,0.000164,0.000118
valu,0.000152,0.000306
cabin,0.000354,0.000518
u,0.003131,0.002002
extra,0.001086,0.000495
ive,0.003687,0.001154
aug,0.000063,0.000259
nantucket,0.000063,0.000283
view,0.000063,0.000589
favorit,0.000063,0.000565
bonus,0.000063,0.000330
balanc,0.000063,0.000283
offic,0.000341,0.000353
hes,0.000240,0.000400
ourselv,0.000139,0.000118
tri,0.006048,0.002473
sale,0.000164,0.000283
nightmar,0.000328,0.000118
sat,0.000644,0.000283
pack,0.000152,0.000118
callback,0.000316,0.000118
feet,0.000177,0.000118
fit,0.000253,0.000118
suit,0.000063,0.000259
nyc,0.000619,0.000636
youd,0.000189,0.000330
form,0.000543,0.000353
status,0.000909,0.001036
outlet,0.000164,0.000118
print,0.000265,0.000118
ord,0.000871,0.000730
w,0.001692,0.000871
total,0.000581,0.000400
spend,0.000543,0.000118
pair,0.000063,0.000330
beach,0.000063,0.000353
hot,0.000063,0.000353
surgeri,0.000063,0.000259
hear,0.000530,0.000871
lame,0.000202,0.000118
phx,0.000543,0.000495
meant,0.000139,0.000118
befor,0.002008,0.001295
pdx,0.000063,0.000400
privat,0.000139,0.000118
remind,0.000177,0.000377
larg,0.000164,0.000118
all,0.005518,0.004169
effort,0.000152,0.000377
jax,0.000152,0.000118
io,0.000063,0.000306
wait,0.000063,0.002049
nasti,0.000202,0.000118
onc,0.000682,0.000589
shame,0.000366,0.000118
cs,0.000328,0.000118
mia,0.000366,0.000118
love,0.001023,0.005040
dia,0.000152,0.000283
less,0.000732,0.000353
member,0.000884,0.000683
refus,0.000631,0.000118
just,0.000063,0.008384
david,0.000063,0.000306
im,0.000063,0.005205
odd,0.000139,0.000118
alist,0.000164,0.000118
plenti,0.000265,0.000118
vacat,0.000846,0.000518
step,0.000354,0.000283
screen,0.000253,0.000118
place,0.000669,0.000447
easier,0.000139,0.000259
pend,0.000152,0.000118
extrem,0.000467,0.000283
issu,0.003068,0.001295
aus,0.000063,0.000259
waterburi,0.000063,0.000259
obvious,0.000227,0.000118
readi,0.000316,0.000589
insid,0.000227,0.000118
phoenix,0.000253,0.000377
confirm,0.001149,0.001484
street,0.000063,0.000542
rest,0.000177,0.000118
had,0.005126,0.002520
s,0.000379,0.000636
gt,0.000442,0.000400
wasnt,0.001035,0.000518
battl,0.000063,0.000518
cool,0.000467,0.000848
plane,0.000063,0.003203
blueman,0.000063,0.000306
digit,0.000063,0.000283
heat,0.000152,0.000118
hey,0.000606,0.000730
gate,0.005404,0.002756
caller,0.000139,0.000118
prove,0.000152,0.000118
yay,0.000063,0.000283
next,0.001806,0.002237
say,0.003333,0.001602
window,0.000366,0.000118
ball,0.000177,0.000259
pr,0.000177,0.000118
fix,0.001477,0.000589
girl,0.000063,0.000377
pictur,0.000063,0.000353
group,0.000492,0.000495
one,0.005581,0.003274
tomorrow,0.002235,0.003179
cx,0.000139,0.000118
hotel,0.001780,0.000495
liveri,0.000063,0.000306
enough,0.000783,0.000471
bunch,0.000152,0.000118
e,0.000202,0.000306
brand,0.000164,0.000306
companion,0.000215,0.000824
togeth,0.000657,0.000589
your,0.000063,0.010622
imagin,0.000063,0.000495
smile,0.000063,0.000377
jh,0.000063,0.000259
commerci,0.000063,0.000424
dept,0.000253,0.000118
unfortun,0.000417,0.000283
pic,0.000139,0.000283
man,0.000253,0.000400
abysm,0.000139,0.000118
blog,0.000063,0.000259
weve,0.000682,0.000471
mess,0.000556,0.000259
rather,0.000467,0.000330
dividend,0.000379,0.000306
paper,0.000189,0.000118
door,0.000480,0.000118
ipad,0.000063,0.000377
cost,0.000783,0.000565
minut,0.004002,0.000895
worri,0.000316,0.000919
winter,0.000215,0.000636
fare,0.000455,0.000683
velourl,0.000063,0.000306
auto,0.000278,0.000118
might,0.000707,0.000636
x,0.000455,0.000118
understood,0.000152,0.000118
bet,0.000164,0.000283
lmao,0.000063,0.000259
cle,0.000152,0.000118
carrieunderwood,0.000063,0.000424
shout,0.000063,0.000306
mdw,0.000063,0.000283
april,0.000063,0.000377
hour,0.000063,0.001460
notic,0.000341,0.000377
decent,0.000139,0.000118
tag,0.000404,0.000118
speak,0.001326,0.000471
personnel,0.000152,0.000118
hawaii,0.000063,0.000424
takeoff,0.000316,0.000118
saw,0.000189,0.000542
caus,0.000884,0.000447
quit,0.000189,0.000118
incompet,0.000442,0.000118
state,0.000379,0.000330
song,0.000063,0.000377
grand,0.000063,0.000259
pleasant,0.000152,0.000353
bullshit,0.000164,0.000118
paid,0.001149,0.000259
light,0.000215,0.000118
class,0.000909,0.001484
portland,0.000063,0.000283
cut,0.000366,0.000118
die,0.000215,0.000259
y,0.000215,0.000118
compani,0.000960,0.000542
spent,0.000631,0.000118
record,0.000442,0.000471
they,0.000063,0.003603
lauren,0.000063,0.000306
retriev,0.000063,0.000306
fam,0.000063,0.000259
njb,0.000063,0.000283
treatment,0.000202,0.000118
owe,0.000139,0.000118
cheap,0.000215,0.000259
realiz,0.000253,0.000259
find,0.001755,0.000942
call,0.000063,0.002073
straight,0.000215,0.000118
argu,0.000164,0.000118
write,0.000240,0.000259
eventu,0.000164,0.000306
youll,0.000240,0.000330
generic,0.000177,0.000118
lauderdal,0.000063,0.000283
dmed,0.000063,0.000447
result,0.000253,0.000118
choos,0.000316,0.000118
experienc,0.000341,0.000118
action,0.000202,0.000118
eye,0.000139,0.000283
up,0.000063,0.004122
dad,0.000063,0.000330
cuz,0.000177,0.000118
horrend,0.000164,0.000118
h,0.000227,0.000118
hadnt,0.000164,0.000118
safe,0.000227,0.000683
honeymoon,0.000189,0.000118
doesnt,0.001995,0.000707
fortunemagazin,0.000063,0.000400
john,0.000063,0.000259
bag,0.000063,0.002661
fan,0.000063,0.000589
scaveng,0.000063,0.000259
notif,0.000404,0.000118
trust,0.000227,0.000306
super,0.000278,0.000589
special,0.000189,0.000447
stand,0.000391,0.000118
period,0.000152,0.000118
biggest,0.000177,0.000118
post,0.000391,0.000424
hire,0.000366,0.000118
luv,0.000215,0.000683
rock,0.000139,0.001107
either,0.000442,0.000400
anytim,0.000063,0.000306
licens,0.000063,0.000259
excus,0.000417,0.000118
believ,0.000619,0.000471
gonna,0.000379,0.000306
keep,0.001679,0.001507
jack,0.000139,0.000118
we,0.000063,0.006712
do,0.000063,0.008997
confus,0.000240,0.000259
situat,0.000417,0.000400
p,0.000152,0.000353
he,0.001237,0.001295
should,0.003081,0.001790
includ,0.000227,0.000495
dead,0.000202,0.000118
stl,0.000063,0.000306
are,0.000063,0.007960
heathrow,0.000063,0.000283
fast,0.000063,0.000400
januari,0.000063,0.000259
loyalti,0.000177,0.000118
attempt,0.000328,0.000118
chair,0.000152,0.000118
compass,0.000189,0.000118
salt,0.000139,0.000118
cater,0.000316,0.000118
clt,0.000846,0.000777
scan,0.000164,0.000118
asham,0.000189,0.000118
poorservic,0.000189,0.000118
speed,0.000152,0.000118
select,0.000417,0.000330
summer,0.000063,0.000353
applic,0.000063,0.000283
rent,0.000227,0.000118
drive,0.000581,0.000471
robot,0.000139,0.000118
dc,0.000480,0.000730
ua,0.002159,0.001484
time,0.000063,0.005134
teen,0.000063,0.000259
atroci,0.000152,0.000118
miss,0.004520,0.001272
palm,0.000152,0.000283
atl,0.000316,0.000518
miami,0.000518,0.000471
damn,0.000290,0.000118
cheaper,0.000152,0.000259
partnership,0.000063,0.000259
diego,0.000177,0.000283
upcom,0.000063,0.000283
